Timestamp,started,vfs_path,Type,_Components,file_size,_accessor,_client_components,uploaded_size
1769661061,2026-01-29 04:31:01.24688815 +0000 UTC,B:\Windows\System32\winevt\Logs\Microsoft-Windows-GenericRoaming%4Admin.evtx,,"[
 ""uploads"",
 ""auto"",
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-GenericRoaming%4Admin.evtx""
]",69632,auto,"[
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-GenericRoaming%4Admin.evtx""
]",69632
1769661061,2026-01-29 04:31:01.247296155 +0000 UTC,B:\Windows\System32\winevt\Logs\Microsoft-Windows-GroupPolicy%4Operational.evtx,,"[
 ""uploads"",
 ""auto"",
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-GroupPolicy%4Operational.evtx""
]",1118208,auto,"[
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-GroupPolicy%4Operational.evtx""
]",1118208
1769661061,2026-01-29 04:31:01.247628274 +0000 UTC,B:\Windows\System32\winevt\Logs\Microsoft-Windows-HelloForBusiness%4Operational.evtx,,"[
 ""uploads"",
 ""auto"",
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-HelloForBusiness%4Operational.evtx""
]",69632,auto,"[
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-HelloForBusiness%4Operational.evtx""
]",69632
1769661061,2026-01-29 04:31:01.247962876 +0000 UTC,B:\Windows\System32\winevt\Logs\Microsoft-Windows-Help%4Operational.evtx,,"[
 ""uploads"",
 ""auto"",
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-Help%4Operational.evtx""
]",69632,auto,"[
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-Help%4Operational.evtx""
]",69632
1769661061,2026-01-29 04:31:01.248270582 +0000 UTC,B:\Windows\System32\winevt\Logs\Microsoft-Windows-HomeGroup Control Panel%4Operational.evtx,,"[
 ""uploads"",
 ""auto"",
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-HomeGroup Control Panel%4Operational.evtx""
]",69632,auto,"[
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-HomeGroup Control Panel%4Operational.evtx""
]",69632
1769661061,2026-01-29 04:31:01.248638411 +0000 UTC,B:\Windows\System32\winevt\Logs\Microsoft-Windows-Hyper-V-Guest-Drivers%4Admin.evtx,,"[
 ""uploads"",
 ""auto"",
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-Hyper-V-Guest-Drivers%4Admin.evtx""
]",69632,auto,"[
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-Hyper-V-Guest-Drivers%4Admin.evtx""
]",69632
1769661061,2026-01-29 04:31:01.248976267 +0000 UTC,B:\Windows\System32\winevt\Logs\Microsoft-Windows-Hyper-V-Hypervisor-Admin.evtx,,"[
 ""uploads"",
 ""auto"",
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-Hyper-V-Hypervisor-Admin.evtx""
]",69632,auto,"[
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-Hyper-V-Hypervisor-Admin.evtx""
]",69632
1769661061,2026-01-29 04:31:01.249308363 +0000 UTC,B:\Windows\System32\winevt\Logs\Microsoft-Windows-Hyper-V-Hypervisor-Operational.evtx,,"[
 ""uploads"",
 ""auto"",
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-Hyper-V-Hypervisor-Operational.evtx""
]",69632,auto,"[
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-Hyper-V-Hypervisor-Operational.evtx""
]",69632
1769661061,2026-01-29 04:31:01.249617118 +0000 UTC,B:\Windows\System32\winevt\Logs\Microsoft-Windows-IKE%4Operational.evtx,,"[
 ""uploads"",
 ""auto"",
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-IKE%4Operational.evtx""
]",69632,auto,"[
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-IKE%4Operational.evtx""
]",69632
1769661061,2026-01-29 04:31:01.249944211 +0000 UTC,B:\Windows\System32\winevt\Logs\Microsoft-Windows-IdCtrls%4Operational.evtx,,"[
 ""uploads"",
 ""auto"",
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-IdCtrls%4Operational.evtx""
]",69632,auto,"[
 ""B:"",
 ""Windows"",
 ""System32"",
 ""winevt"",
 ""Logs"",
 ""Microsoft-Windows-IdCtrls%4Operational.evtx""
]",69632
