Path,Accessor,Size,StoredSize,Sha256,Md5,Error,_Components
B:\Windows\System32\winevt\Logs\Microsoft-Windows-AppXDeploymentServer%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-AppXDeploymentServer%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-AppXDeploymentServer%4Restricted.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-AppXDeploymentServer%4Restricted.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-ApplicabilityEngine%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-ApplicabilityEngine%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-Application Server-Applications%4Admin.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-Application Server-Applications%4Admin.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-Application Server-Applications%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-Application Server-Applications%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Assistant.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-Application-Experience%4Program-Compatibility-Assistant.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Troubleshooter.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-Application-Experience%4Program-Compatibility-Troubleshooter.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Inventory.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-Application-Experience%4Program-Inventory.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Telemetry.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-Application-Experience%4Program-Telemetry.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Steps-Recorder.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-Application-Experience%4Steps-Recorder.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-AppxPackaging%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-AppxPackaging%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-Audio%4CaptureMonitor.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-Audio%4CaptureMonitor.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-Audio%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-Audio%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-Audio%4PlaybackManager.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-Audio%4PlaybackManager.evtx""]"
