"Timestamp","RuleTitle","Level","Computer","Channel","EventID","MitreTactics","MitreTags","OtherTags","RecordID","Details","ExtraFieldInfo","RuleFile","RuleID","EvtxFile"
"2026-01-14T10:50:43.424871Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312108,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T10:52:04.449726Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312110,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T10:52:48.042173Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312112,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T10:53:25.450328Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312114,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T10:54:46.066372Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312116,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T10:55:48.205119Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312118,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T10:56:07.464928Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312120,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T10:57:28.385718Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312122,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T10:58:46.314793Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312124,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
"2026-01-14T10:58:48.093568Z","NTLM Logon","low","SQLSERVER.Mills.local","NTLM",8002,"Evas ¦ LatMov","T1550.002","",312126,"CallerPID: 4 ¦ ClientDomainName: MILLSINC ¦ ClientLUID: 0x3e7 ¦ ClientUserName: SQLSERVER$ ¦ MechanismOID: 1.3.6.1.4.1.311.2.2.10 ¦ ProcessName:","-","win_susp_ntlm_auth.yml","c043d322-c767-faa8-92d4-381dcc35cab3","/home/nevermore/cases/intake/evtx/Logs/Microsoft-Windows-NTLM%254Operational.evtx"
